epoch_count,regression_error,classification_error
480,0.129824,0.0263158
481,0.125055,0.157895
482,0.121984,0.210526
483,0.126137,0.131579
484,0.125346,0.157895
485,0.124682,0.157895
486,0.121463,0.210526
487,0.119342,0.236842
488,0.121831,0.210526
489,0.119459,0.236842
490,0.11804,0.263158
491,0.120346,0.236842
492,0.118622,0.263158
493,0.118253,0.263158
494,0.120881,0.210526
495,0.120471,0.210526
496,0.118481,0.263158
497,0.118216,0.263158
498,0.117144,0.263158
499,0.11849,0.236842
500,0.121155,0.210526
501,0.118919,0.236842
502,0.121261,0.210526
503,0.124161,0.157895
504,0.120705,0.210526
505,0.118786,0.236842
506,0.118211,0.236842
507,0.120507,0.210526
508,0.123651,0.157895
509,0.126688,0.0526316
510,0.125434,0.0789474
511,0.128735,0.0263158
512,0.123997,0.157895
513,0.127864,0.0526316
514,0.123648,0.157895
515,0.120405,0.210526
516,0.123902,0.157895
517,0.128638,0.0263158
518,0.126982,0.0789474
519,0.122692,0.157895
520,0.126313,0.0526316
521,0.129765,0.0526316
522,0.124428,0.157895
523,0.121113,0.184211
524,0.120064,0.210526
525,0.11792,0.236842
526,0.117175,0.236842
527,0.119731,0.210526
528,0.118927,0.210526
529,0.122664,0.157895
530,0.119558,0.210526
531,0.123297,0.131579
532,0.119925,0.184211
533,0.123724,0.131579
534,0.120266,0.184211
535,0.119458,0.184211
536,0.122925,0.131579
537,0.126979,0.0263158
538,0.130556,0.0526316
539,0.136645,0.289474
540,0.14197,0.421053
541,0.134293,0.157895
542,0.139486,0.342105
543,0.146165,0.421053
544,0.13734,0.289474
545,0.135232,0.210526
546,0.14083,0.421053
547,0.146648,0.421053
548,0.137778,0.342105
549,0.13016,0.0526316
550,0.135129,0.184211
551,0.132903,0.157895
552,0.131045,0.131579
553,0.125398,0.0789474
554,0.124267,0.0526316
555,0.128139,0.0526316
556,0.134193,0.210526
557,0.132163,0.157895
558,0.137256,0.342105
559,0.14292,0.421053
560,0.148501,0.421053
561,0.154522,0.421053
562,0.143559,0.421053
563,0.141064,0.421053
564,0.132682,0.157895
565,0.130739,0.157895
566,0.136788,0.342105
567,0.128954,0.131579
568,0.13418,0.289474
569,0.139639,0.421053
570,0.132036,0.157895
571,0.125627,0.0263158
572,0.120689,0.157895
573,0.117667,0.184211
574,0.116845,0.184211
575,0.114895,0.210526
576,0.11375,0.236842
577,0.113131,0.263158
578,0.112763,0.263158
579,0.112409,0.263158
580,0.112125,0.263158
581,0.112118,0.263158
582,0.112405,0.263158
583,0.112103,0.263158
584,0.112642,0.263158
585,0.114443,0.210526
